iter	Passed	Remaining
179	289	1320
180	290	1314
181	291	1310
182	292	1303
183	292	1298
184	293	1291
185	293	1286
186	294	1280
187	295	1275
188	295	1269
189	296	1264
190	297	1259
191	298	1254
192	298	1248
193	299	1243
194	299	1238
195	300	1233
196	301	1229
197	302	1224
198	302	1219
199	303	1213
200	304	1208
201	304	1203
202	305	1198
203	305	1193
204	306	1188
205	307	1184
206	307	1179
207	308	1175
208	309	1170
209	309	1165
210	310	1160
211	311	1156
212	311	1152
213	312	1147
214	313	1143
215	313	1139
216	314	1134
217	315	1130
218	315	1126
219	316	1121
220	317	1117
221	317	1113
222	318	1109
223	318	1104
224	319	1100
225	320	1096
226	320	1092
227	321	1088
228	321	1083
229	322	1079
230	323	1075
231	323	1071
232	324	1067
233	324	1063
234	325	1060
235	326	1056
236	327	1053
237	327	1049
238	328	1044
239	328	1040
240	329	1036
241	329	1033
242	330	1029
243	331	1026
244	331	1022
245	332	1019
246	333	1016
247	333	1012
248	334	1008
249	334	1004
250	335	1001
251	336	997
252	336	993
253	337	990
254	337	987
255	338	983
256	339	981
257	340	978
258	340	975
259	341	972
260	342	968
261	342	965
262	343	962
263	343	958
264	344	956
265	345	952
266	345	949
267	346	945
268	346	942
269	347	938
270	347	935
271	348	932
272	348	928
273	349	925
274	349	922
275	350	919
276	351	916
277	351	913
278	352	910
279	352	907
280	353	904
281	354	901
282	354	898
283	355	896
284	356	893
285	356	891
286	357	888
287	358	885
288	359	883
289	359	880
290	360	877
291	360	875
292	361	872
293	362	869
294	362	867
295	363	864
296	363	861
297	364	858
298	365	856
299	365	853
300	366	850
301	366	847
302	367	844
303	368	842
304	368	840
305	369	838
306	370	835
307	370	832
308	371	829
309	371	827
310	372	824
311	372	821
312	373	819
313	373	816
314	374	813
315	374	811
316	375	809
317	376	806
318	376	804
319	377	801
320	377	799
321	378	797
322	379	794
323	379	792
324	380	789
325	380	787
326	381	785
327	382	783
328	383	781
329	383	779
330	384	776
331	385	774
332	385	772
333	386	770
334	386	767
335	387	765
336	388	763
337	388	761
338	389	759
339	389	756
340	390	754
341	390	752
342	391	749
343	391	747
344	392	745
345	392	742
346	393	740
347	394	738
348	394	736
349	395	734
350	396	732
351	396	730
352	397	728
353	398	726
354	398	724
355	399	723
356	400	721
357	401	719
358	401	717
359	402	714
360	402	712
361	403	710
362	403	708
363	404	706
364	404	704
365	405	702
366	405	700
367	406	698
368	407	696
369	407	694
370	408	692
371	408	690
372	409	688
373	410	686
374	410	684
375	411	682
376	411	680
377	412	678
378	413	676
379	413	675
380	414	673
381	414	671
382	415	669
383	415	667
384	416	665
385	417	663
386	417	661
387	418	660
388	419	658
389	419	656
390	420	654
391	420	652
392	421	651
393	422	649
394	422	647
395	423	645
396	424	644
397	424	642
398	425	640
399	425	638
400	426	636
401	426	634
402	427	633
403	427	631
404	428	629
405	428	627
406	429	625
407	429	623
408	430	622
409	431	620
410	431	618
411	432	616
412	432	614
413	433	613
414	433	611
415	434	609
416	434	607
417	435	605
418	435	604
419	436	602
420	437	601
421	437	599
422	438	597
423	438	596
424	439	594
425	440	593
426	440	591
427	441	589
428	441	588
429	442	586
430	443	585
431	444	584
432	444	582
433	445	581
434	446	579
435	446	577
436	447	576
437	448	574
438	448	573
439	449	571
440	450	570
441	450	569
442	451	567
443	452	566
444	452	564
445	453	563
446	453	561
447	454	560
448	455	558
449	455	557
450	456	555
451	456	554
452	457	552
453	458	550
454	458	549
455	459	547
456	459	546
457	460	544
458	460	543
459	461	542
460	462	540
461	462	538
462	463	537
463	463	535
464	464	534
465	465	533
466	466	531
467	466	530
468	467	529
469	468	528
470	468	526
471	469	525
472	470	523
473	470	522
474	471	521
475	472	519
476	472	518
477	473	516
478	473	515
479	474	514
480	475	512
481	475	511
482	476	510
483	477	508
484	477	507
485	478	505
486	478	504
487	479	503
488	480	502
489	481	500
490	481	499
491	482	498
492	483	496
493	483	495
494	484	494
495	485	493
496	486	492
497	487	491
498	488	490
499	489	489
500	490	488
501	491	487
502	493	487
503	494	486
504	495	485
505	496	484
506	497	483
507	498	482
508	499	481
509	500	480
510	500	479
511	501	478
512	502	477
513	503	476
514	504	475
515	506	474
516	507	474
517	508	473
518	511	473
519	512	472
520	513	471
521	514	470
522	515	469
523	516	469
524	517	468
525	518	467
526	519	466
527	520	465
528	521	464
529	522	463
530	523	462
531	524	461
532	525	460
533	526	459
534	527	458
535	528	457
536	529	456
537	530	455
538	531	454
539	532	453
540	533	452
541	534	451
542	535	450
543	535	449
544	537	448
545	539	448
546	540	447
547	541	446
548	542	445
549	543	444
550	544	443
551	545	442
552	545	441
553	546	440
554	547	439
555	548	438
556	549	437
557	550	436
558	551	434
559	552	433
560	552	432
561	553	431
562	554	430
563	555	429
564	556	428
565	556	426
566	557	425
567	558	424
568	559	423
569	560	422
570	561	421
571	562	420
572	562	419
573	563	418
574	564	417
575	565	416
576	566	415
577	567	414
578	567	412
579	568	411
580	569	410
581	570	409
582	571	408
583	572	407
584	573	406
585	573	405
586	574	404
587	575	403
588	576	402
589	576	400
590	577	399
591	578	398
592	579	397
593	580	396
594	580	395
595	581	394
596	582	393
597	582	391
598	583	390
599	584	389
600	585	388
601	586	387
602	586	386
603	587	385
604	588	384
605	589	382
606	590	382
607	591	381
608	592	380
609	592	378
610	593	377
611	594	376
612	594	375
613	595	374
614	596	373
615	597	372
616	598	371
617	598	370
618	599	369
619	600	367
620	601	367
621	602	366
622	603	365
623	604	363
624	605	363
625	605	362
626	606	360
627	607	360
628	608	359
629	609	357
630	609	356
631	610	355
632	611	354
633	612	353
634	612	352
635	613	351
636	614	350
637	615	349
638	616	348
639	616	346
640	617	345
641	618	344
642	619	343
643	619	342
644	620	341
645	621	340
646	622	339
647	623	338
648	624	337
649	624	336
650	625	335
651	626	334
652	627	333
653	628	332
654	628	331
655	629	330
656	630	329
657	631	328
658	632	327
659	633	326
660	634	325
661	634	324
662	635	322
663	636	321
664	636	320
665	637	319
666	638	318
667	639	317
668	639	316
669	640	315
670	641	314
671	642	313
672	642	312
673	643	311
674	644	310
675	645	309
676	646	308
677	647	307
678	647	306
679	648	305
680	649	304
681	650	303
682	650	302
683	651	301
684	652	299
685	653	298
686	653	297
687	654	296
688	655	295
689	655	294
690	656	293
691	657	292
692	658	291
693	659	290
694	660	289
695	661	288
696	661	287
697	662	286
698	663	285
699	664	284
700	665	283
701	665	282
702	666	281
703	667	280
704	668	279
705	669	278
706	669	277
707	670	276
708	671	275
709	671	274
710	672	273
711	673	272
712	674	271
713	675	270
714	675	269
715	676	268
716	677	267
717	677	266
718	678	265
719	679	264
720	680	263
721	681	262
722	681	261
723	682	260
724	683	259
725	683	258
726	684	257
727	685	256
728	686	255
729	687	254
730	687	253
731	688	252
732	689	251
733	689	249
734	690	248
735	691	247
736	691	246
737	692	245
738	693	244
739	694	243
740	694	242
741	695	241
742	696	240
743	696	239
744	697	238
745	698	237
746	699	236
747	699	235
748	700	234
749	701	233
750	701	232
751	702	231
752	703	230
753	704	229
754	705	228
755	705	227
756	706	226
757	707	225
758	708	224
759	708	223
760	709	222
761	710	221
762	711	220
763	712	219
764	712	218
765	713	218
766	714	217
767	715	216
768	715	215
769	716	214
770	717	213
771	718	212
772	718	211
773	719	210
774	720	209
775	720	208
776	721	207
777	722	206
778	723	205
779	724	204
780	725	203
781	726	202
782	726	201
783	727	200
784	728	199
785	729	198
786	730	197
787	731	196
788	731	195
789	732	194
790	733	193
791	733	192
792	734	191
793	735	190
794	736	189
795	737	188
796	737	187
797	738	186
798	739	185
799	739	184
800	740	183
801	741	183
802	742	182
803	743	181
804	743	180
805	744	179
806	745	178
807	745	177
808	746	176
809	747	175
810	748	174
811	748	173
812	749	172
813	750	171
814	751	170
815	751	169
816	752	168
817	753	167
818	754	166
819	755	165
820	755	164
821	756	163
822	757	162
823	757	161
824	758	160
825	759	160
826	760	159
827	761	158
828	761	157
829	762	156
830	763	155
831	763	154
832	764	153
833	765	152
834	766	151
835	767	150
836	767	149
837	768	148
838	769	147
839	769	146
840	770	145
841	771	144
842	771	143
843	772	142
844	773	141
845	774	140
846	774	139
847	775	138
848	776	138
849	776	137
850	777	136
851	778	135
852	779	134
853	779	133
854	780	132
855	781	131
856	781	130
857	782	129
858	783	128
859	784	127
860	784	126
861	785	125
862	786	124
863	786	123
864	787	122
865	788	121
866	789	121
867	789	120
868	790	119
869	791	118
870	792	117
871	792	116
872	793	115
873	794	114
874	794	113
875	795	112
876	796	111
877	797	110
878	797	109
879	798	108
880	799	107
881	800	107
882	800	106
883	801	105
884	802	104
885	802	103
886	803	102
887	804	101
888	804	100
889	805	99
890	806	98
891	806	97
892	807	96
893	808	95
894	809	94
895	809	94
896	810	93
897	811	92
898	812	91
899	812	90
900	813	89
901	814	88
902	815	87
903	816	86
904	816	85
905	817	84
906	818	83
907	818	82
908	819	82
909	820	81
910	820	80
911	821	79
912	822	78
913	822	77
914	823	76
915	824	75
916	824	74
917	825	73
918	826	72
919	826	71
920	827	70
921	828	70
922	828	69
923	829	68
924	829	67
925	830	66
926	831	65
927	831	64
928	832	63
929	832	62
930	833	61
931	834	60
932	835	59
933	835	59
934	836	58
935	836	57
936	837	56
937	838	55
938	839	54
939	839	53
940	840	52
941	841	51
942	842	50
943	842	49
944	843	49
945	844	48
946	844	47
947	845	46
948	846	45
949	847	44
950	848	43
951	848	42
952	849	41
953	849	40
954	850	40
955	851	39
956	851	38
957	852	37
958	853	36
959	853	35
960	854	34
961	855	33
962	855	32
963	856	31
964	857	31
965	857	30
966	858	29
967	859	28
968	859	27
969	860	26
970	860	25
971	861	24
972	862	23
973	862	23
974	863	22
975	864	21
976	865	20
977	865	19
978	867	18
979	868	17
980	868	16
981	869	15
982	870	15
983	871	14
984	871	13
985	872	12
986	873	11
987	873	10
988	874	9
989	874	8
990	875	7
991	876	7
992	877	6
993	877	5
994	878	4
995	879	3
996	880	2
997	880	1
998	881	0
999	882	0
